pt_otimo[x],pt_otimo[y],f(otimo),hiperparametro
-200.0,-200.0,78.24384571128945,0.0
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
-199.88876416732808,-199.99403570427134,77.18130434459917,0.1
