MQO
0.7233
0.7224
0.7165
0.7302
0.7282
0.7282
0.7312
0.7281
0.7238
0.7236
0.7224
0.7296
0.73
0.7127
0.7151
0.7236
0.7252
0.7144
0.7198
0.718
0.73
0.7103
0.7266
0.7274
0.7239
0.7151
0.7107
0.7309
0.7305
0.7347
0.7292
0.7292
0.725
0.7229
0.7159
0.727
0.7187
0.7278
0.7184
0.7325
0.7216
0.7226
0.731
0.726
0.7372
0.7157
0.7273
0.7311
0.7339
0.7285
0.717
0.716
0.7276
0.7274
0.7202
0.7299
0.7262
0.724
0.714
0.7232
0.7276
0.7172
0.7185
0.7233
0.7182
0.7322
0.7294
0.7311
0.7144
0.7135
0.7374
0.7211
0.7294
0.7108
0.7203
0.7225
0.7173
0.7274
0.7285
0.7283
0.7142
0.7185
0.7312
0.722
0.7266
0.738
0.7234
0.7234
0.7258
0.7232
0.7184
0.7169
0.7288
0.7157
0.7127
0.7259
0.7232
0.7302
0.7257
0.7139
