rodada,pesos
38,"[-0.54141702  0.69423254 -0.19971672  0.58558611  0.8383033   0.67294974
  0.12891685  1.29627235 -0.63905414  1.0510376   0.40764913  0.18184857]"
39,"[-0.74972815  0.89451626  0.01308844 -0.51734151 -0.30023737 -0.75225608
 -0.15074634  1.05788546  1.01909435  0.65399323  0.26403671  0.92196637]"
40,"[-0.76745946 -0.07923099  0.28983086  0.72838235 -0.02245172  0.30325297
  1.23557785  0.52816415  1.01199395 -0.05833333  0.80021918 -0.62380645]"
41,"[-0.48377529  1.28904604  0.45053153 -0.70317091 -0.13685898 -0.37522783
  2.20118877  4.16296067 -0.61232384  0.7744386  -0.16207684  1.01521699]"
42,"[ 0.1549006  -0.2097144  -0.25536873 -0.9144088  -0.64759465 -0.18758915
  1.85681948  3.44683165 -0.55966766 -0.33799468  0.18139281  0.86202812]"
43,"[ 0.03485006  0.229806   -0.17629747 -0.03897549 -0.35899423 -0.78111398
  0.33717267  1.16847601  0.45686189  0.30221328  0.72374707  1.29960896]"
44,"[-0.61103973  1.21871188  0.98435407 -0.20494761  0.7818333  -0.44290054
  0.85851622  1.27440424  0.72292383 -0.38390433  0.7429613   1.3344975 ]"
45,"[-0.66555099  1.06693427 -0.03763716  0.04065497  0.28096954 -0.08862429
  1.12733581  3.23008105 -0.43746733 -0.71475805 -0.48741464  0.53122824]"
46,"[ 0.60379273 -0.00182222 -0.52708702 -0.81234487 -0.54262318  0.11051119
  0.64906312  1.77732902 -0.75059789  0.53369658  0.35430597  0.17964831]"
47,"[-0.61670252 -0.26976788  0.20996117 -0.75270618  0.27075207  0.56614056
 -0.0708668   1.18174261  0.67161339  0.82518303 -0.36324566 -0.1579628 ]"
48,"[-0.65251488 -0.0756128   0.35615111 -0.27370762 -0.36851233  0.08000763
  0.31760478  0.62918739 -0.49075804 -0.69360276 -0.61806458  0.19600571]"
49,"[-0.32430662  0.31834895  0.30652663 -0.40849601  0.39967112  0.44295717
  1.29215642  1.78898336  0.40890539  0.59024724  0.91597738  1.29286782]"
50,"[-0.48674784  1.00847471 -0.62768943  0.3505837  -0.66608009  0.49835077
  0.33374917  2.73112329  0.96794152 -0.41526875  0.08182791  1.35796989]"
51,"[ 0.29716816  0.76803633 -0.16358961  0.45880632 -0.68694386 -0.04708747
  1.14862871  2.97840614  0.02588485 -0.12384186 -0.0706986   1.49614646]"
52,"[ 0.24158212  0.58428719  0.92047271 -0.33616244  0.68004646  0.53723486
  0.14564026  0.26929513 -0.28416486 -0.10977424  0.34418828  0.05930684]"
53,"[-0.07105846  0.7735778   0.78461512 -0.12576235 -0.50016684 -0.51925403
  0.12548012  1.17970698  0.29663323  0.37843585  0.63277301  0.57743241]"
54,"[ 0.96936887  0.44764786 -0.13499483  0.26912072  0.14871918  0.09049412
  1.26434903  1.54292883 -0.87354249  0.88735322 -0.11619582 -0.13080785]"
55,"[ 0.00440498  0.27651041  0.20448139  0.05168007 -0.25396639  0.55770435
  2.26406438  3.81201722  0.02436144 -0.17485497 -0.50134718  0.12077289]"
56,"[ 0.80599964  0.91037184 -0.30150204 -0.67868502 -0.61272019  0.24197851
  2.45990811  1.22146709 -0.10806465 -0.57622806 -0.23745038 -0.37737157]"
57,"[ 0.23339418 -0.10603761 -0.19412266  0.92173991 -0.20783164 -0.48232718
  0.81205085  2.04640854  0.80878817  0.49730828 -0.33135955  0.60452751]"
58,"[-0.77923088  0.296394   -0.76190922  0.101757    0.9636362   0.11584061
  1.75566261  2.31185283  0.83738378  1.15715161  0.98372259  1.3143802 ]"
59,"[ 9.86328440e-04  7.80119386e-01  1.33353640e-01  2.19491468e-01
 -9.18578458e-03 -1.40766839e-01  1.07196705e+00  2.75205926e+00
 -4.95611635e-01 -6.20811968e-01 -7.95315590e-01  1.26230275e+00]"
60,"[-0.82994386 -0.32620407 -0.67670349 -0.17866819  0.94690228 -0.86606172
 -0.48856669  0.78452525  0.07356189  0.95379877 -0.74668178 -0.16920538]"
61,"[ 0.98077079  0.89878908  0.23263081  0.98096089 -0.57865653 -0.77700766
  0.20379806  3.03986145  0.91596381 -0.48412191  0.61021013  0.96306599]"
62,"[-0.48652092  0.47240445  0.78800347  0.26473037  1.00318345  0.62765126
  2.39418814  6.76180823  0.45154031  0.58100544  0.52666657  0.41091402]"
63,"[ 0.55022366  0.53490349 -0.08204712  0.19286829  0.83064856  0.43117063
  0.37863076 -0.00901316 -0.29470102  0.55445443  0.46407404 -0.4717    ]"
64,"[-0.47513932  0.07586558  0.62570283 -0.97096384 -0.54648798  0.1220715
 -0.35854811  0.64318141  0.7154931   0.56329187  0.46148659  0.74749767]"
65,"[ 0.52717485  0.24284124  0.95461901  0.21064859  0.63332826 -0.07469419
  0.32817617  2.01802391  0.14778339 -0.56903836 -0.31170121 -0.21137675]"
66,"[-0.33975975  1.36833824 -0.5845344   0.67694549  0.93002089  0.59956483
  1.41906686  2.39794779 -0.64183645 -0.71453282  0.66495115  1.8167946 ]"
67,"[-0.56099097 -0.56586407  0.69367669  0.93327419  0.12128879 -0.07558763
  0.01371083  0.63013943  0.08457635 -0.02409913 -0.47634238  1.15852895]"
68,"[ 0.85250077 -0.48427179 -0.34488379  0.47600637  0.38180153 -0.21862331
  0.76102349  0.98290531 -0.30028211  0.87104573  0.0491602   0.25590505]"
69,"[-0.18385155  0.19625191 -0.23675909 -0.52998541  0.49783701  0.77045316
  0.21502649  0.88404757  0.1412445   0.52764542  0.05371967 -0.26324201]"
70,"[ 0.14970813 -0.14046052  0.81703503 -0.96808171 -0.10677794  0.53819952
  1.94632234  2.38359153  0.53714051  0.6599039   0.69555982  0.58532901]"
71,"[-0.94385358  0.01304064  0.48611548  0.60593677  0.62196663  0.07002748
  0.76129415  1.9224704   0.17118474 -0.73137757 -0.01482688 -0.37329394]"
72,"[ 0.25623865 -0.59838463  0.20897981  0.88970743  0.2265421  -0.11429133
  1.73549749  2.22482995 -0.70112153 -0.03535391  0.91198433  0.15858659]"
73,"[-0.33151232  0.08715172 -0.08495746  0.94541982  0.66046423 -0.62283882
  1.18913382  1.14854317  0.10250187 -0.26272404 -0.93303414  0.15803672]"
74,"[ 0.13369327  0.65546203  0.41903596 -0.33427231  0.38084505  0.97299434
 -0.26882585  1.41444084  0.64953627  1.0318383   0.10548034 -0.18437643]"
