rodada,pesos
38,"[-0.15005676 -0.12778951  0.57381706 -0.58583981  0.40882558  0.3951943
  1.68894327 10.14070059  0.39233407 -0.0730205   0.01997851  1.05292414]"
39,"[ 0.24901574  0.24203339  0.16034822 -0.6289082  -0.89678912 -0.35277127
  2.91117879  6.31645965  0.91158511 -0.69079335  0.29486898  0.8751244 ]"
40,"[-0.85495635 -0.55439638  0.24756341  0.90284874  0.86451726  0.24574822
  0.81107296  1.69631127 -0.33291321  0.18707206 -0.2515479   0.96068729]"
41,"[ 0.32443155  0.39060485  0.61826529 -0.2679622   1.30828313  0.60975246
  0.66716166  5.55517043  0.52866061  0.54110555 -0.74087391  1.25463646]"
42,"[ 0.44920607  1.2298519  -0.46718104 -0.51633686  0.8179356   0.83684441
  1.0351865  12.24524126 -0.40274451 -0.18052731  0.94466795  0.58995719]"
43,"[ 0.21718493  0.28981508  0.37986721  0.41261085  0.70058229  0.05135839
  0.25203977  6.62603284  0.44366799  1.02652722  0.40845632 -0.29557619]"
44,"[-0.1056182  -0.20287677 -0.01267537 -0.9177355   0.56022689  0.32905203
  0.3365546   0.44348157  0.95359646  0.18976451 -0.42634005  0.43417829]"
45,"[ 0.27650022 -0.51134126 -0.37621617  0.09722066  0.15461579 -0.17201708
  0.74793155  1.67737941  0.55052601 -0.40338653  0.05705874 -0.1315157 ]"
46,"[-0.98759051  0.90280933  0.32237347  0.01852948 -0.5924607   0.73236285
  0.96476232  0.19032057  0.8848322   0.16075154  0.02888867  0.66888503]"
47,"[ 0.22764444 -0.37654528  0.59573812 -0.53500569  0.97365262  0.15577281
  2.05433529  8.86440691 -0.62403981  1.00577134 -0.7964243   1.0025126 ]"
48,"[-0.28792287  0.69097569 -0.28770867  0.77742715 -0.22597921 -0.14734368
 -0.36169341  0.9362559   0.15012495  0.63383728  0.81321527 -0.36342341]"
49,"[-0.92819061 -0.8859258   0.54366782  0.07803611  0.17655433 -0.29302169
 -0.0473393   0.47897949  0.1144087  -0.93939693  0.69834609  0.24829407]"
50,"[ 0.91003386 -0.42078673 -0.77766326  0.29193453 -0.58454059  0.24040235
  3.14977738  4.80286724  0.85842743 -0.04515003  0.53147394  1.36994057]"
51,"[-0.18065404  0.54771013  0.90849927  0.59626499  1.75353179 -0.31504332
  3.94770366 11.17829347  0.47280242  0.17455402  1.01191533  1.22726917]"
52,"[ 0.6624913  -0.7469873   0.87161153 -0.67878044  0.19502302  0.92397712
  0.63971353  0.8996106   0.39113965 -0.32266785  0.63980098  0.21509001]"
53,"[-0.48494657 -0.25024198  0.56799029 -0.44842531 -0.27143898  0.07239016
  3.39845359  6.75973995 -0.08300988  0.92643364 -0.17156278  0.7466353 ]"
54,"[-0.1917144   0.55584466 -0.91126849  0.94364649  0.60393108 -0.48688333
  3.13192024  9.03843155  0.44451719  0.06395691  0.2543538   1.146689  ]"
55,"[ 0.12075018 -0.08838439 -0.26575421 -0.82798915 -0.7331881   0.50348592
  0.40176213  6.00489937 -0.12769568  0.84094744  0.216683   -0.25148018]"
56,"[-0.63867341  1.31851639  0.99486163  0.34883157 -0.20720632  0.61552623
  3.19624964  8.12303474  0.13755702  1.11279697  0.49345842 -0.29158622]"
57,"[-0.11356298  0.21569497  0.27567123  0.38161916  0.40394333  0.42661328
 -0.70037041  0.6075758   0.27987493 -0.40385266 -0.90096088  0.4197181 ]"
58,"[ 0.57067099 -0.07135335 -0.10114802  0.54062428 -0.39348733  0.57560374
  3.10428444  5.34286509 -0.12449984  0.4333117  -0.84599928  0.72374948]"
59,"[-0.14510137  0.5393811   0.55126298  0.23368612  0.64135485 -0.57191783
  2.98856012 11.10519996 -0.09600729  0.33897719 -0.79349697  0.23431428]"
60,"[ 0.86655867 -0.59044342 -0.44904485  0.68316657 -0.71403773  0.28934797
  0.32471739  6.76529547 -0.06399772  0.80268873  0.15658036  0.89282455]"
61,"[-0.83311754  0.78296678 -0.61979723 -0.2596152  -0.04954628 -0.94057678
  3.6587396  11.05088924 -0.20502173 -0.44589322  0.68844803  1.57172082]"
62,"[ 1.0441325  -0.0392637   0.12778483  0.92483427 -0.28556879  0.51038214
  0.50633558  4.83547272 -0.41952887 -0.11466185 -0.46121028  0.77146248]"
63,"[ 0.1072041   0.30696813  0.21215238 -0.203546    0.19108266 -0.07745768
  2.62971599 10.72490897  0.71450608  0.79656002  0.0989412   1.45300205]"
64,"[-0.15223663 -0.19263991  0.66238236  0.99881918  0.07484895  0.63437664
 -0.46147386  0.65505442 -0.88952306  0.34775912  0.89697406 -0.17350612]"
65,"[-0.38053535 -0.74458483  0.35223312 -0.09132219 -0.80102277  0.20423678
  0.83626108  0.6271836   0.17452698  0.51573463  0.83207992 -0.30957781]"
66,"[ 0.36498379 -0.17549598  0.57302167  0.85616531 -0.69022421 -0.87025092
  1.98795616  9.27461789  0.92803236  0.179058    0.79024848  0.56661838]"
67,"[ 0.8394325  -0.21831774 -0.33644681 -0.25936721 -0.35464338 -0.19702938
 -0.07800037  1.35720076 -0.2968732   0.60781409 -0.85878663  0.26990202]"
68,"[-0.56767503 -0.12632848 -0.01836963 -0.2438165   0.26296989  0.50554749
  2.2500844   7.610359   -0.50201006 -0.02181451  0.14288037  1.21141795]"
69,"[-0.51473488  1.02994466 -0.70269785  1.01575638  0.04702335  0.34159891
  0.34628728  2.50880125 -0.26474198 -0.70581785  0.16508294  0.05125117]"
70,"[ 0.60830465 -0.04904884  0.3603498  -0.81747612  1.03810521 -0.82819864
  3.54801642  9.46628997 -0.15668644  0.55870064  0.72844034  0.22462152]"
71,"[ 1.63527709e-01  1.04604576e+00 -6.59093182e-01  1.30315753e-02
  1.78331233e+00 -7.55107500e-01  4.57094338e+00  1.39098023e+01
 -4.17412981e-01  9.22834458e-01  9.84415042e-01  6.98626941e-01]"
72,"[ 0.62332676  0.70922743 -0.06181129 -0.76934814  0.01177378 -0.39579621
  0.38950074  0.53384334 -0.40082586 -0.61830101  0.04217875 -0.45550518]"
73,"[ 0.88678179  0.32035334 -0.63211518  0.95624992  0.18707396  0.66577292
  2.92503991  6.27809518  0.57193344 -0.23807585 -0.95162205  0.50474496]"
74,"[-0.05051861 -0.37880045 -0.27170002 -0.65569232  0.68730299 -0.6046686
  0.97799169  0.54501035 -0.47361998  0.80545131 -0.16337343  0.34374413]"
75,"[ 0.33279137 -0.4665014  -0.01020607  0.54064678  0.44357706  0.35812161
  2.20737385  9.38200469  0.4999455   0.0390394   0.81135198  0.93466783]"
76,"[-0.20448887 -0.58348816 -0.82614769 -0.29492048  0.85218924 -0.82661835
  0.77603749  0.40092949 -0.45570692  0.63902477 -0.03950196  0.4393056 ]"
77,"[0.68443409 1.10339441 0.67598293 0.63413032 0.38066114 0.94950748
 1.92295591 7.49222492 0.88875884 0.0444013  0.29418997 0.18640728]"
78,"[-0.5148827  -0.49394568  0.01292143 -0.7402472   0.37251566  0.1213608
  1.5513484   5.35993119  0.00643031  0.90128604  0.80610592 -0.3367788 ]"
79,"[-0.13005167  0.18040856 -0.02344006 -0.54103412  0.1912076  -0.77589072
 -0.11440932  0.88190263 -0.70122688 -0.43050778 -0.63519992  0.02149016]"
80,"[ 0.78588859 -0.6067363   0.83340279  0.43099638 -0.13422322  0.53289099
  0.39804655  0.16539617  0.29556694  0.95022732 -0.07775356 -0.15039285]"
81,"[-0.6375684  -0.49394334  0.09870469  0.45436653  0.62360609 -0.52462506
 -0.59200787  0.69294513 -0.29860052  0.85559874 -0.36503481  0.55474442]"
82,"[-0.07512784  0.33864963 -0.51788839 -0.36518775  1.03357482  0.18190719
  0.86615996  4.96571301 -0.66238824  0.02673273  0.32754509  1.26920953]"
83,"[ 0.07119    -0.20676906  0.17786225 -0.44874518  0.96621529 -0.85660692
 -0.19754833  1.32182025  0.01320548  0.29434639  0.25803046  0.01296873]"
84,"[ 1.03460002 -0.31585122 -0.11824733 -0.3277001   1.11089074  0.25920168
  3.26142641  6.57251533  0.76088202 -0.1775409  -0.08279407 -0.2114183 ]"
85,"[ 0.97892169  0.39077662  0.20795739  0.95722091 -0.15513972  0.29112113
  2.48031716  9.68502515 -0.9345087   0.42986803  0.02081363  0.81447511]"
86,"[ 0.97855581  0.39245609  0.58394703 -0.48071187 -0.85333611 -0.53404644
 -0.33323077  0.2942717   0.60427776 -0.33302455 -0.54474666  0.84775007]"
87,"[ 0.58812736  0.67575708 -0.80860166 -0.42225307 -0.14900774 -0.55754709
  0.24900135  0.42392627 -0.93577707 -0.49666562  0.16139178 -0.137592  ]"
88,"[-0.11549889 -0.61327104  0.06107876  0.13576647 -0.73171155 -0.81482182
  0.93445515  0.82186233 -0.67601983 -0.24867745 -0.99761504 -0.45379157]"
89,"[ 0.26880724  0.28958672 -0.75278341 -0.11019876  0.30976688 -0.81068021
  1.97565527  9.0717046   0.49190206 -0.54710202  0.92561033  0.04218257]"
90,"[-0.0775142   0.52454665  0.13492399  0.26945314 -0.97040071  0.00412616
  0.49424249  0.95448104  0.43210409 -0.31267087 -0.56211517 -0.4332386 ]"
91,"[ 0.74917117  0.97681487  0.41230595 -0.5830146  -0.24692623 -0.57624449
 -0.82061537  0.52299133 -0.44254303  0.53557281  0.21769403  0.90447152]"
92,"[-0.1532772   0.36012373  0.45324328 -0.14949452  0.45319392  0.5462418
  1.1574109   6.35513658 -0.6213679  -0.6488276   0.90817903  0.43358599]"
93,"[ 0.67486813 -0.6065256  -0.1463759   0.30828458  0.90428002 -0.9873465
 -0.28108027  0.53208574 -0.41139367 -0.25041895  0.36079801  0.70858489]"
94,"[-0.31025178 -0.41698856 -0.02973142 -0.79464352 -0.40824156 -0.09994434
  2.13879888  4.74673158 -0.41354992 -0.4424367   0.6334397   0.44526452]"
95,"[ 0.55434962 -0.17873097 -0.78849413  0.53698833  0.46533619  0.74289031
  0.85323596  2.15057566 -0.31230217  0.54685876 -0.54757191 -0.3898806 ]"
96,"[ 0.26271667 -0.46805763 -0.5509264   0.32853601  0.06304098 -0.21502352
  1.07087771  1.30260246 -0.79611221 -0.04520964  0.27472272  0.36309579]"
97,"[-0.66238857 -0.67013141 -0.37427606 -0.92056058 -0.18918602  0.25193075
  1.09017845  1.28983667  1.00931849  0.12170549  0.25783997 -0.53919849]"
98,"[ 0.343888    0.93791029 -0.81821114 -0.58585952  0.41747509  0.16629093
  2.87621214 11.00096111  0.41542147  0.65651084  0.24824426  0.26039903]"
99,"[ 0.07192147  1.27884325 -0.14497036 -0.48205335  0.96339639  0.09550328
  3.64785239  8.25727234 -0.81779873  0.65974948 -0.74499021  1.41989252]"
100,"[-0.37128842  0.1194194  -0.96947641 -0.69757757  0.30826887  0.22769289
 -0.3710621   0.87965189 -0.84715533  0.5261385   0.11856909  0.08297117]"
