rodada,pesos
27,"[-1.87441419e+175 -1.86087453e+176 -9.33103628e+174 -9.83440854e+174
 -2.85645725e+176 -4.15131393e+174 -9.90402009e+176 -1.50792351e+177
 -1.87965622e+175 -5.86515704e+175 -1.39800508e+175 -1.62402315e+176]"
28,"[-1.33838311e+166 -1.44114838e+167 -7.02621499e+165 -2.21074850e+165
 -8.05390786e+166 -3.89058424e+164 -8.44882281e+163  2.12511338e+167
 -1.34008271e+166 -4.60707030e+166 -8.56179541e+164 -1.18803020e+167]"
29,"[ 4.66924417e+172  9.61616477e+172  5.69532985e+172 -2.69076752e+172
  1.13545186e+173  4.56090766e+171  2.99163941e+173  2.17326627e+174
  4.65460259e+172  1.98810469e+173  3.32629449e+172  4.55804941e+173]"
30,"[-1.03966493e+186 -6.92514411e+186 -5.36959106e+185 -5.16884669e+185
 -4.66806355e+186 -5.17236226e+184 -5.92561764e+184 -2.16735819e+187
 -1.03826253e+186 -3.98367264e+186  9.05281317e+184 -1.12524416e+187]"
31,"[2.49066314e+162 2.08395013e+163 1.71928357e+162 3.36314883e+161
 7.73823305e+162 2.80298745e+161 7.02215827e+162 1.58568187e+164
 2.49152745e+162 8.26196993e+162 1.10488937e+162 1.70974044e+163]"
32,"[-4.06075122e+166 -2.80947565e+167 -2.94278542e+166  4.48411446e+165
  1.32970124e+167 -5.43320436e+165  1.00320010e+168  2.02293306e+168
 -4.04577878e+166 -1.38262137e+167 -2.99924759e+166 -3.66113344e+167]"
33,"[3.70688382e+180 3.93162267e+181 1.21292810e+180 4.98547774e+180
 1.47465194e+181 2.55631645e+179 9.47662123e+181 7.00790980e+182
 3.69062038e+180 1.09425816e+181 2.39281860e+180 4.41982453e+181]"
34,"[-2.09160899e+175 -2.53228024e+176  6.65307509e+174 -2.08716590e+175
  1.21917985e+176 -5.87635492e+174 -1.00945185e+177  7.42304080e+176
 -2.06090934e+175 -7.22276930e+175 -6.44294308e+173 -3.24411548e+176]"
35,"[ 2.21148409e+167  2.42565625e+168  7.91787988e+166  1.20746568e+167
  6.23173817e+167  1.36181422e+166 -1.26074689e+168  3.81871021e+167
  2.19841075e+167  6.72038716e+167  1.05606406e+167  3.09328388e+168]"
36,"[ 3.52574854e+167  6.95010073e+167  4.22048609e+167 -3.54473925e+167
 -1.47782666e+167  1.21392605e+166  6.79115751e+167 -1.16391572e+168
  3.50563552e+167  1.37406382e+168  1.46663693e+167  1.73453840e+168]"
37,"[ 2.57032688e+175  3.41011692e+176  1.05870169e+175  1.27123036e+175
 -3.24275590e+174  2.33787772e+174 -6.07042854e+176  7.08513339e+176
  2.58175326e+175  7.70221705e+175  7.15134192e+174  1.16975223e+176]"
38,"[-3.80033020e+159 -1.41257488e+161 -1.23903442e+160  1.57466104e+160
  8.85178715e+160  4.23418677e+158  5.33536697e+161  1.75999062e+162
 -4.00607820e+159 -7.86255045e+159  6.99208366e+159  8.15840250e+160]"
39,"[ 2.24758930e+177  1.38412126e+178  6.69827574e+176  1.60312099e+177
  3.99510298e+177  3.33867717e+176 -5.63647135e+178  4.94804063e+177
  2.22307869e+177  7.91593849e+177  1.01934565e+176  3.34199820e+178]"
40,"[-8.97924417e+183 -5.24395438e+184 -7.11107408e+183  1.87538069e+183
 -2.07912774e+184 -1.10683872e+182 -3.18231124e+185 -2.26045602e+185
 -8.91205717e+183 -3.04359179e+184 -8.57287315e+183 -1.09105208e+185]"
41,"[-4.33511416e+166 -6.87375547e+167 -1.06868167e+165 -3.20404311e+166
  6.53574096e+167 -7.94862252e+164 -1.23304277e+168  9.51498236e+167
 -4.28826607e+166 -1.28613509e+167 -3.55621792e+166 -5.59540373e+167]"
42,"[-6.36759001e+174 -6.70703080e+175 -4.39015314e+174 -2.43687061e+174
 -1.92746941e+175 -5.01762425e+173 -6.76980273e+175 -2.57288514e+176
 -6.36087577e+174 -2.06205394e+175 -2.38586021e+174 -6.42660193e+175]"
