pt_otimo[x],pt_otimo[y],f(otimo),hiperparametro
-10.0,-10.0,1.4195357645382263,0.0
-9.911271134184346,-10.0,1.4291943125001814,0.1
-9.911271134184346,-10.0,1.4291943125001814,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
-9.901023518212769,-10.0,1.4300654163623658,0.1
