pt_otimo[x],pt_otimo[y],f(otimo),hiperparametro
-108.25114053229385,-123.96903604336943,-138.08728789328742,0.0
-108.25114053229385,-123.96903604336943,-138.08728789328742,0.9328691089483038
-108.25114053229385,-123.96903604336943,-138.08728789328742,0.021325349995791498
-108.25114053229385,-123.96903604336943,-138.08728789328742,0.3444565458606005
-108.25114053229385,-123.96903604336943,-138.08728789328742,0.7106412474794578
-106.93457078837207,-124.29672268286564,-149.5116006916138,0.556507750739745
-106.93457078837207,-124.29672268286564,-149.5116006916138,0.18922470738974806
-106.93457078837207,-124.29672268286564,-149.5116006916138,0.16033220390139524
-106.93457078837207,-124.29672268286564,-149.5116006916138,0.945156846904958
-106.93457078837207,-124.29672268286564,-149.5116006916138,0.7276692503685428
-106.93457078837207,-124.29672268286564,-149.5116006916138,0.3368706577809232
-106.93457078837207,-124.29672268286564,-149.5116006916138,0.16849114647156627
-105.84030958187815,-124.25638045696964,-156.00366832660245,0.8696422150291585
-105.84030958187815,-124.25638045696964,-156.00366832660245,0.27966105074564673
-103.5780740957908,-123.01419123944538,-161.3637574883636,0.8567071537985221
-103.5780740957908,-123.01419123944538,-161.3637574883636,0.9107483456163937
-103.7448584382096,-123.31454792589365,-162.05806184733427,0.6925555764273653
-103.7448584382096,-123.31454792589365,-162.05806184733427,0.3178629428162053
-103.7448584382096,-123.31454792589365,-162.05806184733427,0.312520565694248
-103.7448584382096,-123.31454792589365,-162.05806184733427,0.2460295109299988
-103.7448584382096,-123.31454792589365,-162.05806184733427,0.7536272561963256
-103.7448584382096,-123.31454792589365,-162.05806184733427,0.17725428388808628
-103.7448584382096,-123.31454792589365,-162.05806184733427,0.37946620410210175
-103.7448584382096,-123.31454792589365,-162.05806184733427,0.3975779277675725
-103.7448584382096,-123.31454792589365,-162.05806184733427,0.1268210506799965
-103.7448584382096,-123.31454792589365,-162.05806184733427,0.3081832290369617
-103.7448584382096,-123.31454792589365,-162.05806184733427,0.416750276353238
-105.60627260812326,-125.37182098849934,-162.66764134723135,0.9535067147640526
-105.60627260812326,-125.37182098849934,-162.66764134723135,0.7386236765757707
-105.1398519120871,-125.66575388032277,-165.92085393111404,0.7914659935562477
-105.1398519120871,-125.66575388032277,-165.92085393111404,0.2855637190892467
-105.1398519120871,-125.66575388032277,-165.92085393111404,0.3969578999664065
-105.1398519120871,-125.66575388032277,-165.92085393111404,0.05623653917569049
-104.15710040308332,-125.05250182887737,-167.58478067631472,0.8793841264957696
-104.15710040308332,-125.05250182887737,-167.58478067631472,0.1705756670384171
-104.21505596954442,-126.19327719836517,-170.72238096914617,0.7858762727929678
-104.21505596954442,-126.19327719836517,-170.72238096914617,0.1165700382591196
-104.21505596954442,-126.19327719836517,-170.72238096914617,0.3142030779575419
-104.21505596954442,-126.19327719836517,-170.72238096914617,0.0788822536302829
-104.21505596954442,-126.19327719836517,-170.72238096914617,0.09198770263183709
-104.21505596954442,-126.19327719836517,-170.72238096914617,0.9749276214142821
-103.25211544687318,-125.68305669741044,-172.03886892734522,0.9910205065960079
-103.25211544687318,-125.68305669741044,-172.03886892734522,0.4625963645945764
-103.25211544687318,-125.68305669741044,-172.03886892734522,0.8604042439505328
-103.25211544687318,-125.68305669741044,-172.03886892734522,0.5461358505853459
-103.25211544687318,-125.68305669741044,-172.03886892734522,0.8858940064995939
-103.25211544687318,-125.68305669741044,-172.03886892734522,0.42004046556876995
-103.25211544687318,-125.68305669741044,-172.03886892734522,0.6758852330467314
